transactionId,date,itemName,quantitySold,mealType,unitPrice
SYN-2026-02-21-0,2026-02-21,Veg Thali,157,Lunch,80
SYN-2026-02-21-1,2026-02-21,Paneer Meal,68,Lunch,120
SYN-2026-02-21-2,2026-02-21,Rice Bowl,101,Lunch,60
SYN-2026-02-21-3,2026-02-21,Idli & Sambar,111,Breakfast,40
SYN-2026-02-21-4,2026-02-21,Dal Khichdi,68,Lunch,65
SYN-2026-02-22-0,2026-02-22,Veg Thali,140,Lunch,80
SYN-2026-02-22-1,2026-02-22,Paneer Meal,61,Lunch,120
SYN-2026-02-22-2,2026-02-22,Rice Bowl,101,Lunch,60
SYN-2026-02-22-3,2026-02-22,Idli & Sambar,122,Breakfast,40
SYN-2026-02-22-4,2026-02-22,Dal Khichdi,76,Lunch,65
SYN-2026-02-23-0,2026-02-23,Veg Thali,150,Lunch,80
SYN-2026-02-23-1,2026-02-23,Paneer Meal,58,Lunch,120
SYN-2026-02-23-2,2026-02-23,Rice Bowl,89,Lunch,60
SYN-2026-02-23-3,2026-02-23,Idli & Sambar,114,Breakfast,40
SYN-2026-02-23-4,2026-02-23,Dal Khichdi,79,Lunch,65
SYN-2026-02-24-0,2026-02-24,Veg Thali,164,Lunch,80
SYN-2026-02-24-1,2026-02-24,Paneer Meal,66,Lunch,120
SYN-2026-02-24-2,2026-02-24,Rice Bowl,93,Lunch,60
SYN-2026-02-24-3,2026-02-24,Idli & Sambar,105,Breakfast,40
SYN-2026-02-24-4,2026-02-24,Dal Khichdi,71,Lunch,65
SYN-2026-02-25-0,2026-02-25,Veg Thali,152,Lunch,80
SYN-2026-02-25-1,2026-02-25,Paneer Meal,67,Lunch,120
SYN-2026-02-25-2,2026-02-25,Rice Bowl,104,Lunch,60
SYN-2026-02-25-3,2026-02-25,Idli & Sambar,117,Breakfast,40
SYN-2026-02-25-4,2026-02-25,Dal Khichdi,71,Lunch,65
SYN-2026-02-26-0,2026-02-26,Veg Thali,143,Lunch,80
SYN-2026-02-26-1,2026-02-26,Paneer Meal,60,Lunch,120
SYN-2026-02-26-2,2026-02-26,Rice Bowl,100,Lunch,60
SYN-2026-02-26-3,2026-02-26,Idli & Sambar,124,Breakfast,40
SYN-2026-02-26-4,2026-02-26,Dal Khichdi,80,Lunch,65
SYN-2026-02-27-0,2026-02-27,Veg Thali,177,Lunch,80
SYN-2026-02-27-1,2026-02-27,Paneer Meal,78,Lunch,120
SYN-2026-02-27-2,2026-02-27,Rice Bowl,107,Lunch,60
SYN-2026-02-27-3,2026-02-27,Idli & Sambar,129,Breakfast,40
SYN-2026-02-27-4,2026-02-27,Dal Khichdi,95,Lunch,65
SYN-2026-02-28-0,2026-02-28,Veg Thali,170,Lunch,80
SYN-2026-02-28-1,2026-02-28,Paneer Meal,70,Lunch,120
SYN-2026-02-28-2,2026-02-28,Rice Bowl,101,Lunch,60
SYN-2026-02-28-3,2026-02-28,Idli & Sambar,111,Breakfast,40
SYN-2026-02-28-4,2026-02-28,Dal Khichdi,72,Lunch,65
SYN-2026-03-01-0,2026-03-01,Veg Thali,155,Lunch,80
SYN-2026-03-01-1,2026-03-01,Paneer Meal,69,Lunch,120
SYN-2026-03-01-2,2026-03-01,Rice Bowl,110,Lunch,60
SYN-2026-03-01-3,2026-03-01,Idli & Sambar,127,Breakfast,40
SYN-2026-03-01-4,2026-03-01,Dal Khichdi,77,Lunch,65
SYN-2026-03-02-0,2026-03-02,Veg Thali,155,Lunch,80
SYN-2026-03-02-1,2026-03-02,Paneer Meal,63,Lunch,120
SYN-2026-03-02-2,2026-03-02,Rice Bowl,102,Lunch,60
SYN-2026-03-02-3,2026-03-02,Idli & Sambar,129,Breakfast,40
SYN-2026-03-02-4,2026-03-02,Dal Khichdi,86,Lunch,65
SYN-2026-03-03-0,2026-03-03,Veg Thali,177,Lunch,80
SYN-2026-03-03-1,2026-03-03,Paneer Meal,69,Lunch,120
SYN-2026-03-03-2,2026-03-03,Rice Bowl,99,Lunch,60
